subject,professor,lecture_type,time,room
3차원고집적반도체소자,배학열,일반,전주:공과대학 7호관 329 ,"수 9-A,수 9-B,수 10-A,수 10-B,수 11-A,수 11-B"
4차산업혁명과디지털리터러시,양동민,일반,전주:인문대학1호관 308 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
4차산업혁명과디지털리터러시,양동민,일반,전주:인문대학2호관 412 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
4차산업혁명과창의력개발,우태규,일반,전주:공과대학 8호관 212 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
4차산업혁명과창의력개발,이정윤,일반,익산:교양관 2205 ,"화 1-A,화 1-B,화 2-A,화 2-B,목 3-A,목 3-B"
4차산업혁명기술활용수업의실제,김세민,일반,전주:진수당 201 ,"목 11-A,목 11-B,목 12-A,목 12-B,목 13-A,목 13-B"
Academic Debate and Presentation(Academic Debate and Presentation),유민형,일반,전주:글로벌인재관 219 ,"금 2-A,금 2-B,금 3-A,금 3-B,금 4-A,금 4-B"
Academic Reading and Writing(Academic Reading and Writing),김보경,일반,전주:글로벌인재관 207 ,"월 6-A,월 6-B,월 7-A,월 7-B,수 6-A,수 6-B"
Academic Writing(Academic Writing),앨레스터 맥도날드 카더,일반,전주:인문대학1호관 402 ,"수 2-A,수 2-B,금 1-A,금 1-B,금 2-A,금 2-B"
Advanced Topics in Human Rights and Security(Advanced Topics in Human Rights and Security),전광호,일반,전주:인문대학2호관 507 ,"화 8-A,화 8-B,목 6-A,목 6-B,목 7-A,목 7-B"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
Area Studies 3(Area Studies 3),이진영,일반,전주:글로벌인재관 207 ,"화 3-A,화 3-B,목 1-A,목 1-B,목 2-A,목 2-B"
C&Python프로그래밍(C&Python Programming),이승법,일반,전주:인문대학2호관 331 ,"수 9-A,수 9-B,금 8-A,금 8-B,금 9-A,금 9-B"
CAD,김태진,일반,전주:공과대학 6호관 509 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B,목 9-A,목 9-B"
CAD및실습,육기철,일반,전주:공과대학 8호관 402 ,"화 6-A,화 6-B,화 7-A,화 7-B,목 8-A,목 8-B,목 9-A,목 9-B"
CAD및실습,나석찬,일반,새만금:산학융합지구캠퍼스동 102 ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B,토 4-A,토 4-B"
CAD및실습,육기철,일반,전주:공과대학 8호관 402 ,"화 8-A,화 8-B,화 9-A,화 9-B,목 6-A,목 6-B,목 7-A,목 7-B"
